21.2,16.8,26.4,12.3,21.8,13.3,12.8,12.4,8.1,23.0,22.8,28.2,20.4,20.4,32.2,6.0,20.4,11.4,22.4,16.6,18.3,26.0,0.0,26.3,20.1,28.5,7.4,16.8,22.2,25.2,17.2,39.9,22.2,24.8
19.1,25.0,20.9,32.4,16.3,22.1,19.4,31.1,25.8,10.2,12.4,14.6,25.8,13.9,43.2,27.9,39.5,30.2,8.7,35.0,22.1,31.4,27.6,0.0,7.8,14.4,26.1,21.1,19.7,25.2,13.1,26.4,20.3,15.1
14.3,19.2,20.0,27.0,12.0,16.3,13.7,25.4,20.0,10.0,8.6,13.7,24.9,13.0,42.3,22.2,33.3,24.6,7.8,31.2,21.2,30.5,21.9,8.0,0.0,12.1,20.4,15.4,18.8,19.5,7.1,25.5,19.4,14.2
22.3,27.3,25.5,35.7,20.1,24.4,21.8,33.4,28.1,12.1,19.5,17.0,30.4,20.5,47.8,30.3,44.6,33.5,17.3,40.0,25.4,36.0,30.0,15.4,12.9,0.0,28.4,23.4,24.4,27.6,15.4,27.4,23.6,19.7
20.8,16.4,26.4,6.9,21.4,13.7,12.3,6.4,10.8,23.0,22.4,28.2,20.5,19.9,31.3,3.5,14.8,10.8,22.0,11.1,18.3,26.1,6.7,25.9,19.7,28.0,0.0,16.3,22.2,24.8,16.8,39.9,22.2,24.8
6.4,11.6,27.3,22.2,9.9,12.6,6.4,20.1,14.8,17.3,16.6,21.0,26.8,14.1,40.7,16.9,28.0,19.8,16.1,24.3,22.4,32.4,16.6,20.0,13.8,22.2,15.0,0.0,25.8,10.2,10.9,32.8,21.9,21.5
26.3,31.5,10.1,23.8,23.6,15.9,26.0,26.1,26.2,13.6,18.1,15.2,14.5,17.6,31.8,23.1,28.1,20.0,17.1,23.6,8.9,20.0,23.2,20.8,18.4,25.1,24.8,28.0,0.0,33.8,20.4,26.7,15.5,13.1
8.9,19.6,32.6,29.8,12.2,19.1,15.1,28.8,23.4,22.6,21.2,26.3,34.0,20.0,48.3,25.6,36.7,27.4,21.4,34.0,28.8,39.6,25.2,25.3,19.1,27.4,23.7,9.7,32.2,0.0,16.1,38.1,28.0,26.8
10.3,15.2,19.2,23.2,9.3,11.8,9.7,21.4,16.1,9.2,7.6,13.0,24.2,9.6,41.8,18.2,29.3,20.9,8.0,27.5,19.7,29.8,17.9,11.9,5.8,14.1,16.4,11.4,18.1,15.6,0.0,24.7,18.1,13.4
31.6,37.5,21.7,40.5,28.9,32.9,31.9,42.5,38.3,18.9,25.2,17.6,30.8,25.7,48.2,40.5,44.5,36.4,22.3,40.0,27.4,36.4,40.0,26.1,23.6,27.4,38.6,33.6,24.8,37.8,25.6,0.0,29.1,21.9
24.0,27.5,16.2,20.3,20.5,11.9,22.0,26.0,22.1,8.9,11.6,14.0,17.3,11.9,34.7,19.5,29.1,18.1,14.0,24.6,10.0,22.9,19.1,17.5,15.3,20.4,20.7,24.1,13.2,29.3,18.0,25.8,0.0,11.0
21.0,26.9,9.1,24.2,18.3,15.8,21.4,29.9,26.0,8.3,11.5,9.3,20.0,12.3,37.3,23.4,33.0,22.0,11.8,28.4,13.3,25.6,23.0,15.5,13.0,19.8,24.6,23.0,12.0,27.2,15.0,21.4,12.8,0.0
